country_name,subregion1_name,Total_Confirmed,Total_Deaths,Total_Recovered
El Salvador,San Miguel Department,,,
El Salvador,Sonsonate Department,,,
El Salvador,San Salvador Department,,,
El Salvador,San Vicente Department,,,
El Salvador,La Unión Department,,,
El Salvador,Usulután Department,,,
Sint Maarten,,729,22,
Syria,,4931,238,
Swaziland,,5733,115,
Turks and Caicos Islands,,696,6,
Chad,,1350,92,
French Southern Territories,,,,
Togo,,1996,51,
Thailand,,3669,59,
Tajikistan,,10374,80,
Tokelau,,0,0,
East Timor,,29,0,
Turkmenistan,,0,0,
Tunisia,,34790,512,
Tonga,,0,0,
Turkey,,342143,9080,
Trinidad and Tobago,,5154,93,
Tuvalu,,0,0,
Taiwan,,535,7,
Tanzania,,509,21,
Ukraine,,287231,5408,10475
Ukraine,Vinnytsia,8070,140,4934
Ukraine,Volyn,10515,218,6194
Ukraine,Luhansk,2229,32,737
Ukraine,Dnipropetrovsk,10257,221,4624
Ukraine,Donetsk,6658,66,1169
Ukraine,Zhytomyr,9286,163,5213
Ukraine,Zakarpattia,11461,328,5655
Ukraine,Zaporizhzhya,6162,95,1767
Ukraine,Ivano-Frankivsk,16163,375,8251
Ukraine,Kiev,29412,557,10475
Ukraine,Kiev Oblast,12207,261,6995
Ukraine,Kirovohrad,1468,67,1012
Russia,Sevastopol,352,,
Russia,Republic of Crimea,1241,,
Ukraine,Lviv,24171,672,9122
Ukraine,Mykolaiv,5336,110,1353
Ukraine,Odessa,18013,279,2853
Ukraine,Poltava,5469,92,1764
Ukraine,Rivne,15398,196,11937
Ukraine,Sumy,8252,114,2595
Ukraine,Ternopil,16916,215,11720
Ukraine,Kharkiv,27457,434,5535
Ukraine,Kherson,2264,43,949
Ukraine,Khmelnytskyi,10098,175,4128
Ukraine,Cherkasy,6387,68,2552
Ukraine,Chernihiv,6379,87,1213
Ukraine,Chernivtsi,17203,400,9172
Uganda,,10117,96,
United States Minor Outlying Islands,,,,
United States of America,,7833851,215199,
Malaysia,Kelantan,156,15,
Malaysia,Malacca,255,37,
Malaysia,Negeri Sembilan,994,72,
Malaysia,Pahang,365,27,
Malaysia,Penang,121,13,
Malaysia,Perak,258,30,
Malaysia,Perlis,18,4,
Malaysia,Selangor,2006,75,
Malaysia,Terengganu,111,18,
Malaysia,Sabah,362,25,
Malaysia,Sarawak,565,32,
Malaysia,Kuala Lumpur,2422,271,
Malaysia,Labuan,17,5,
Malaysia,Putrajaya,119,13,
Mozambique,,10537,73,
Mozambique,Niassa Province,233,0,147
Mozambique,Manica Province,109,2,97
Mozambique,Gaza Province,345,2,309
Mozambique,Inhambane Province,236,1,219
Mozambique,Maputo Province,1568,21,1132
Mozambique,Maputo,4222,46,1827
Mozambique,Nampula Province,585,5,465
Mozambique,Cabo Delgado Province,720,1,664
Mozambique,Zambezia Province,621,1,460
Mozambique,Sofala,245,1,210
Mozambique,Tete Province,312,3,252
Namibia,,12103,130,
New Caledonia,,27,0,
Niger,,1205,69,
Norfolk Island,,,,
Nigeria,,60982,1116,
Nicaragua,,4297,154,
Nicaragua,North Caribbean Coast Autonomous Region,,,
Nicaragua,South Caribbean Coast Autonomous Region,,,
Nicaragua,Boaco Department,,,
Nicaragua,Carazo Department,,,
Nicaragua,Chinandega Department,,,
Nicaragua,Chontales Department,,,
Nicaragua,Estelí Department,,,
Nicaragua,Granada Department,,,
Nicaragua,Jinotega Department,,,
Nicaragua,León Department,,,
Nicaragua,Madriz Department,,,
Nicaragua,Managua Department,,,
Nicaragua,Masaya Department,,,
Nicaragua,Matagalpa Department,,,
Nicaragua,Nueva Segovia Department,,,
Nicaragua,Rivas Department,,,
Nicaragua,Río San Juan Department,,,
Netherlands,,210284,6689,
Netherlands,Drenthe,2985,67,
Netherlands,Flevoland,3811,102,
Netherlands,Friesland,3665,72,
Netherlands,Gelderland,20189,735,
Netherlands,Groningen,3979,22,
Netherlands,Limburg,9706,774,
Brazil,Maranhão,172176,3735,0
Isle of Man,,348,24,
India,,7370468,112161,
India,Andaman and Nicobar Islands,4068,56,3822
Italy,Molise,864,26,573
Italy,Campania,23033,499,8180
Italy,Apulia,10734,630,5431
Italy,Basilicata,1169,38,548
Italy,Calabria,2589,104,1581
Italy,Sicily,11269,360,4975
Italy,Sardinia,5736,171,2470
Italy,South Tyrol,4493,293,2897
Italy,Trentino-Alto Adige,6715,466,5574
Jersey,,487,32,
Jamaica,,8067,160,
Jordan,,33009,282,
Japan,,91431,1650,
Japan,Hokkaido,2469,108,
Japan,Aomori,83,1,
Japan,Iwate,26,0,
Japan,Miyagi,522,2,
Japan,Akita,56,0,
Japan,Yamagata,81,1,
Japan,Fukushima,347,6,
Japan,Ibaraki,723,18,
Japan,Tochigi,458,1,
Japan,Gunma,766,19,
Japan,Saitama,5282,102,
Japan,Chiba,4457,76,
Japan,Tokyo,28604,431,
Japan,Kanagawa,7835,154,
Japan,Niigata,180,0,
Japan,Toyama,423,26,
Japan,Ishikawa,788,47,
Japan,Fukui,254,11,
Japan,Yamanashi,195,6,
Japan,Nagano,323,3,
Japan,Gifu,642,10,
Japan,Shizuoka,574,2,
Japan,Aichi,5638,91,
Japan,Mie,538,7,
Japan,Shiga,520,8,
Japan,Kyoto,1914,27,
Japan,Osaka,11414,226,
Japan,Hyōgo,2979,60,
Japan,Nara,595,9,
Japan,Wakayama,254,4,
Japan,Tottori,35,0,
Japan,Shimane,140,0,
Japan,Okayama,169,1,
Japan,Hiroshima,639,4,
Japan,Yamaguchi,207,2,
Japan,Tokushima,149,9,
Japan,Kagawa,99,2,
Japan,Ehime,116,6,
Japan,Kōchi,140,4,
Japan,Fukuoka,5120,99,
Japan,Saga,248,0,
Japan,Nagasaki,241,3,
Japan,Kumamoto,734,8,
Japan,Ōita,159,2,
Japan,Miyazaki,366,1,
Japan,Kagoshima,463,12,
Japan,Okinawa,2853,54,
Kenya,,43143,805,
Kyrgyzstan,,51020,1103,
Cambodia,,283,0,
Kiribati,,0,0,
Comoros,,496,7,
Saint Kitts and Nevis,,19,0,
North Korea,,0,0,
South Korea,,25035,441,
South Korea,Seoul,4520,10,
South Korea,Busan,336,3,
South Korea,Daegu,7104,162,
South Korea,Incheon,806,2,
South Korea,Gwangju,465,2,
South Korea,Daejeon,329,2,
South Korea,Ulsan,125,1,
South Korea,Gyeonggi,3788,29,
South Korea,Gangwon,211,3,
South Korea,Chungbuk,149,,
South Korea,Chungnam,390,,
South Korea,Jeonbuk,96,,
South Korea,Jeonnam,166,,
South Korea,Gyeongbuk,1478,50,
South Korea,Gyeongnam,259,,
South Korea,Jeju,51,,
South Korea,Sejong,76,,
Kuwait,,114015,684,
Cayman Islands,,225,1,
Kazakhstan,,144487,2136,
Laos,,23,0,
Lebanon,,58645,501,
Saint Lucia,,31,0,
Liechtenstein,,177,1,
Sri Lanka,,5244,13,
Liberia,,1372,82,
Lesotho,,1833,42,
Lithuania,,6760,110,
Luxembourg,,10244,133,
Latvia,,3056,41,
Libya,,46676,681,
Libya,Benghazi,962,26,541
Libya,Butnan,,,
Libya,Bani Walid,312,10,218
Libya,Derna,,,
Libya,Ghadames,,,
Libya,Gharyan,,,
Libya,Ghat,,,
Libya,Jabal al Akhdar,24,0,20
Libya,Jabal al Gharbi,1801,36,1135
Libya,Al-Jafra,32,0,0
Libya,Al Jufrah,23,3,0
Libya,Kufra,207,15,135
Libya,Khoms,874,14,471
Libya,Murqub,106,3,66
Libya,Kikla,4,0,0
Libya,Marj,10,0,0
Libya,Murzuq,,,
Libya,Misurata,3069,66,761
Libya,Nalut,1,0,0
Libya,Nuqat al Khams,291,6,65
Libya,Sabha,1274,44,1021
SR,,,,
Libya,Sirte,12,2,0
Libya,Sabratha,218,6,137
Libya,Tripoli,13586,20,7972
Libya,Al Wahat,367,21,189
Libya,Wadi al Hayaa,,,
Libya,Wadi al Shati,262,9,0
Libya,Yafran,,,
Libya,Zawia,759,13,361
Libya,Zintan,255,2,180
Morocco,,163650,2772,
Monaco,,253,2,
Moldova,,65076,1530,
Montenegro,,14543,217,
Madagascar,,16754,237,
Philippines,Davao Region,2720,68,1658
Philippines,Soccsksargen,1307,17,360
Philippines,Caraga,1065,14,294
Philippines,Autonomous Region in Muslim Mindanao,996,33,12
Philippines,Cordillera Administrative Region,1074,16,474
Philippines,Calabarzon,44447,535,4624
Philippines,Mimaropa,1163,19,409
Pakistan,,321218,6614,
Pakistan,Balochistan,4393,,
Pakistan,Gilgit-Baltistan,711,,
Pakistan,Islamabad,2589,,
Pakistan,Azad Kashmir,255,,
Pakistan,Khyber Pakhtunkhwa,10027,,
Pakistan,Punjab,26240,,
Pakistan,Sindh,28245,,
Poland,,149903,3308,
Poland,Lower Silesia,8511,215,
Poland,Kuiavia-Pomerania,6935,113,
Poland,Lublin,5858,103,
Poland,Lubusz,2263,28,
Poland,Łódź,11595,321,
Poland,Lesser Poland,20821,305,
Poland,Mazovia,21642,530,
Poland,Opole,4286,113,
Poland,Subcarpathia,8225,231,
Poland,Podlaskie,3957,78,
Poland,Pomerania,9764,162,
Poland,Silesia,28361,651,
Poland,Swietokrzyskie,4638,96,
Poland,Warmia-Masuria,3287,47,
Poland,Greater Poland,13581,402,
Poland,West Pomeranian,3884,45,
Pitcairn Islands,,0,0,
Puerto Rico,,56085,743,
Palestine,,57441,471,
Portugal,,93294,2128,30049
Portugal,Norte,17957,821,16
Portugal,Algarve,683,15,0
Portugal,Centro,4245,249,10
Portugal,Lisbon Metropolitan Area,21584,527,17
Portugal,Alentejo,562,18,0
Portugal,Azores,151,15,0
Portugal,Madeira,95,0,0
Palau,,0,0,
Paraguay,,51845,1131,
Paraguay,Concepción Department,,,
Paraguay,Alto Paraná Department,,,
Paraguay,Central Department,,,
Paraguay,Ñeembucú Department,,,
Paraguay,Amambay Department,,,
Paraguay,Canindeyú,,,
Paraguay,Presidente Hayes Department,,,
Paraguay,Alto Paraguay Department,,,
Paraguay,Boquerón Department,,,
Paraguay,San Pedro Department,,,
Paraguay,Cordillera Department,,,
Paraguay,Guairá Department,,,
Paraguay,Caaguazú,,,
Paraguay,Caazapá,,,
Paraguay,Itapúa,,,
Paraguay,Misiones Department,,,
Paraguay,Paraguarí Department,,,
Paraguay,Capital District,,,
Qatar,,128803,222,
Réunion,,4678,17,
Romania,,168490,5674,20799
Serbia,,35454,770,
Russia,,1369313,23723,
Russia,Adygea,4749,39,3929
Russia,Altai Republic,1606,,
Russia,Altai Krai,16039,270,14735
Russia,Amur Oblast,5068,60,4520
Russia,Arkhangelsk Oblast,16452,271,10700
Russia,Astrakhan Oblast,8020,139,6725
Russia,Bashkortostan,9605,47,8634
Russia,Belgorod Oblast,10080,59,8735
Russia,Bryansk Oblast,10737,46,8401
Russia,Buryatia,8419,92,6960
Russia,Chechnya,2517,43,2045
Russia,Chelyabinsk Oblast,17123,147,12709
Russia,Chukotka Avtonomnyy Okrug,218,2,194
Russia,Chuvashia,9105,111,7640
Russia,Dagestan,14769,709,12961
Russia,Ingushetia,6508,86,5215
Russia,Irkutsk Oblast,21281,322,17882
Russia,Ivanovo Oblast,9879,154,7521
Russia,Kamchatka Krai,5024,70,3425
Russia,Kabardino-Balkaria,8739,110,6870
Russia,Karachay-Cherkessia,8325,30,5088
Russia,Krasnodar Krai,15599,339,11055
Russia,Kemerovo Oblast,12585,165,8850
Russia,Kaliningrad Oblast,5495,91,3888
Russia,Kurgan Oblast,4703,56,3925
Russia,Khabarovsk Krai,13617,122,10413
Russia,Khanty-Mansi Avtonomnyy Okrug,25335,208,22443
Russia,Kirov Oblast,9896,152,6249
Russia,Khakassia,5298,54,4402
Russia,Kalmykia,7700,85,4760
Russia,Kaluga Oblast,10447,74,8320
Russia,Komi Republic,10387,150,8222
Russia,Kostroma Oblast,5806,95,4146
Russia,Republic of Karelia,4981,38,3388
Russia,Kursk Oblast,9276,63,7190
Russia,Krasnoyarsk Krai,22534,593,16387
Russia,Leningrad Oblast,9644,103,5907
Russia,Lipetsk Oblast,6924,56,5872
Russia,Magadan Oblast,3625,32,2700
Russia,Mari El,5366,59,4542
Russia,Mordovia,7272,45,6012
Russia,Moscow Oblast,79567,1452,59770
Russia,Moscow,352995,5850,270226
Russia,Murmansk Oblast,17110,247,13944
Russia,Nenets Avtonomnyy Okrug,372,0,136
Russia,Novgorod Oblast,6199,87,4106
Russia,Nizhny Novgorod Oblast,36193,644,30331
Russia,Novosibirsk Oblast,14695,519,12889
Russia,Omsk Oblast,13037,358,11021
Russia,Orenburg Oblast,14981,93,13323
Russia,Oryol Oblast,10122,143,7897
Russia,Perm Krai,11363,337,7686
Russia,Penza Oblast,12734,143,9943
Russia,Primorsky Krai,13110,126,11079
Russia,Pskov Oblast,6274,67,4355
Russia,Rostov Oblast,26021,633,20786
Russia,Ryazan Oblast,9259,55,7022
Russia,Yakutia,11119,106,7674
Russia,Sakhalin Oblast,6559,0,4627
Russia,Samara Oblast,13714,219,10834
Brazil,Pará,228068,6551,0
Brazil,Paraíba,119987,2804,
Brazil,Pernambuco,145096,8190,0
Israel,Tel Aviv District,49442,353,39453
Brazil,Rio de Janeiro,262006,18291,0
United States of America,California,870380,16839,
United States of America,Colorado,82443,2187,6968
United States of America,Connecticut,62028,4540,9651
United States of America,District of Columbia,16255,641,12731
United States of America,Delaware,22724,581,11724
Colombia,Quindío,6186,151,4405
Colombia,Risaralda,13772,335,11753
Colombia,Santander,36396,1599,30697
Colombia,Sucre,14842,640,13714
Colombia,Tolima,15027,514,12835
Andorra,,3190,59,
United Arab Emirates,,111437,452,
Afghanistan,,40026,1481,
Afghanistan,Balkh,2218,94,1461
Afghanistan,Bamyan,885,12,707
Afghanistan,Badghis,673,12,537
Afghanistan,Badakhshan,451,7,99
Afghanistan,Baghlan,676,30,288
Afghanistan,Daykundi,469,3,101
Afghanistan,Farah,421,15,65
Afghanistan,Faryab,254,17,237
Afghanistan,Ghazni,566,47,479
Afghanistan,Ghor,542,13,184
Afghanistan,Helmand,213,27,178
Afghanistan,Herat,5296,160,3751
Afghanistan,Jowzjan,196,6,188
Afghanistan,Kabul,15144,539,14341
Afghanistan,Kandahar,1529,37,1351
Afghanistan,Kapisa,205,10,193
Afghanistan,Kunduz,663,20,430
Afghanistan,Khost,429,38,389
Afghanistan,Kunar,419,19,382
Afghanistan,Laghman,387,4,151
Afghanistan,Logar,546,27,540
Afghanistan,Nangarhar,1454,79,1094
Afghanistan,Nimruz,374,8,314
Afghanistan,Nuristan,75,0,17
Afghanistan,Panjshir,285,16,208
Afghanistan,Parwan,397,18,271
Afghanistan,Paktia,1168,34,592
Afghanistan,Paktika,206,6,144
Afghanistan,Samangan,333,14,311
Afghanistan,Sar-e Pol,130,6,124
Afghanistan,Takhar,1120,36,735
Afghanistan,Urozgan,65,5,61
Afghanistan,Maidan Wardak,330,16,301
Afghanistan,Zabul,144,7,125
Antigua and Barbuda,,112,3,
Anguilla,,3,0,
Albania,,16212,439,
Armenia,,61460,1056,
Netherlands Antilles,,,,
Angola,,7096,228,
Antarctica,,,,
Argentina,,877026,30519,
Argentina,Salta,14525,700,
Brazil,Distrito Federal,190505,3203,
Brazil,Federal District,190505,3203,0
Brazil,Espirito Santo,129796,3524,
Mexico,Tlaxcala,7644,1109,
Marshall Islands,,0,0,
Macedonia,,22170,815,
Mali,,3368,132,
Myanmar,,32351,765,
Mongolia,,320,0,
Macau,,,,
Northern Mariana Islands,,80,2,
Martinique,,2257,24,
Mauritania,,7585,163,
Montserrat,,13,1,
Malta,,4152,45,
Mauritius,,404,10,
Maldives,,11113,35,
Malawi,,5836,181,
Mexico,,829396,84898,
Mexico,Aguascalientes,7585,659,
Mexico,Baja California,19897,3630,
Mexico,Baja California Sur,10676,490,
Mexico,Campeche,6037,827,
Mexico,Chihuahua,11927,1435,
Chile,Antofagasta,20243,514,
Chile,Arica y Parinacota,9138,164,
Chile,Araucanía,9834,130,
Chile,Atacama,7479,79,
Chile,Biobío,26157,401,
Chile,Coquimbo,12129,230,
Chile,O'Higgins,17177,455,
Chile,Los Lagos,11820,111,
Chile,Los Ríos,2603,26,
Mexico,Guanajuato,42197,2996,
Mexico,Hidalgo,13166,2012,
Norway,Jan Mayen,,,
Norway,Viken,4369,,
Norway,Innlandet,748,,
Norway,Vestfold og Telemark,511,,
Norway,Agder,567,,
Norway,Vestland,2166,,
Norway,Trøndelag,759,,
Norway,Troms og Finnmark,410,,
Nepal,,121745,694,
Nauru,,0,0,
Niue,,0,0,
New Zealand,,1524,25,
Oman,,108296,1071,
Panama,,122128,2519,
Panama,Bocas del Toro Province,,,
Panama,Panamá Oeste Province,,,
Panama,Coclé Province,,,
Panama,Colón Province,,,
Panama,Chiriquí Province,,,
Panama,Darién Province,,,
Panama,Herrera Province,,,
Panama,Los Santos Province,,,
Panama,Panamá Province,,,
Panama,Veraguas Province,,,
Panama,Emberá-Wounaan Comarca,,,
Panama,Guna Yala,,,
Panama,Ngöbe-Buglé Comarca,,,
Peru,,856951,33512,
Peru,Amazonas,15726,219,
United States of America,New Jersey,218783,16197,35654
United States of America,New Mexico,34958,922,19127
United States of America,Nevada,88081,1700,2293
United States of America,New York,484135,32935,78006
Argentina,Neuquén,11749,252,
Argentina,Río Negro,16046,532,
Argentina,Santa Fe,60529,862,
Argentina,Tucumán,27293,434,
Argentina,Chubut,5057,131,
Argentina,Tierra del Fuego,5871,104,
Argentina,Corrientes,1863,30,
Argentina,Córdoba,52209,798,
Argentina,Jujuy,16988,678,
Argentina,Santa Cruz,6244,115,
American Samoa,,0,0,
Austria,,60764,894,
Austria,Burgenland,1272,13,893
Austria,Lower Austria,9391,131,7548
Austria,Vienna,22571,280,16320
Austria,Carinthia,1382,13,1016
Austria,Styria,4665,185,3534
Austria,Upper Austria,9052,78,7264
Austria,Salzburg,3509,44,2388
Austria,Tyrol,8023,111,6631
Austria,Vorarlberg,2799,27,2024
Australia,,27362,904,
Australia,Australian Capital Territory,113,3,110
Australia,New South Wales,4326,55,2951
Australia,Northern Territory,33,0,34
Australia,Queensland,1164,7,1154
Australia,South Australia,479,4,471
Australia,Tasmania,230,13,215
Australia,Victoria,20317,816,19279
Australia,Western Australia,709,9,683
Aruba,,4229,32,
Azerbaijan,,43280,619,
Bosnia and Herzegovina,,32230,970,
Barbados,,215,7,
Israel,Southern District,35738,215,29384
Israel,Haifa District,24116,245,19454
Bangladesh,,384559,5608,
Bangladesh,Bandarban District,41,0,0
Bangladesh,Barguna District,81,1,0
Bangladesh,Bogra District,269,0,0
Bangladesh,Brahmanbaria District,186,2,0
Bangladesh,Bagerhat District,46,0,0
Bangladesh,Barisal District,182,0,0
Bangladesh,Bhola District,69,0,0
Bangladesh,Comilla District,1195,4,1
Bangladesh,Chandpur District,255,0,0
Bangladesh,Chittagong District,2998,2,2
Bangladesh,Cox's Bazar District,969,0,1
Bangladesh,Chuadanga District,111,0,1
Bangladesh,Dhaka District,21717,103,77
Bangladesh,Dinajpur District,182,1,0
Bangladesh,Faridpur District,348,0,0
Bangladesh,Feni District,257,0,0
Bangladesh,Gopalganj District,287,0,0
Bangladesh,Gazipur District,1165,0,1
Bangladesh,Gaibandha District,63,0,4
Bangladesh,Habiganj District,175,0,0
Bangladesh,Jamalpur District,294,3,0
Bangladesh,Jessore District,165,0,0
Bangladesh,Jhenaidah District,57,0,0
Bangladesh,Joypurhat District,183,1,0
Bangladesh,Jhalokati District,39,0,0
Bangladesh,Kishoreganj District,314,1,0
Bangladesh,Khulna District,159,0,0
Bangladesh,Kurigram District,74,0,0
Bangladesh,Khagrachari District,47,0,0
Bangladesh,Kushtia District,126,0,0
Bangladesh,Lakshmipur District,144,1,0
Bangladesh,Lalmonirhat District,42,0,0
Bangladesh,Manikganj District,167,0,0
Bangladesh,Mymensingh District,571,3,0
Bangladesh,Munshiganj District,985,4,0
Bangladesh,Madaripur District,203,2,9
Bangladesh,Magura District,37,0,0
Bangladesh,Moulvibazar District,116,3,0
Bangladesh,Meherpur District,30,1,0
Bangladesh,Narayanganj District,2598,41,25
Bangladesh,Netrokona District,269,0,0
Bangladesh,Narsingdi District,191,1,1
Bangladesh,Narail District,34,0,0
Bangladesh,Natore District,67,0,0
Bangladesh,Chapai Nawabganj District,64,0,0
Bangladesh,Nilphamari District,138,0,0
Bangladesh,Noakhali District,838,1,0
Bangladesh,Naogaon District,212,0,0
Bangladesh,Pabna District,84,1,0
Bangladesh,Pirojpur District,38,0,0
Bangladesh,Patuakhali District,89,1,0
Bangladesh,Panchagarh District,52,0,0
Bangladesh,Rajbari District,90,0,0
Bangladesh,Rajshahi District,81,2,0
Bangladesh,Rangpur District,511,1,0
Bangladesh,Rangamati Hill District,68,0,0
Bangladesh,Sherpur District,121,0,0
Bangladesh,Satkhira District,49,0,0
Bangladesh,Sirajganj District,42,0,0
Bangladesh,Sylhet District,676,2,0
Bangladesh,Sunamganj District,217,0,0
Bangladesh,Shariatpur District,153,1,0
Bangladesh,Tangail District,55,3,0
Bangladesh,Thakurgaon District,74,0,0
Bangladesh,Barisal Division,,,
Bangladesh,Chittagong Division,,,
Bangladesh,Dhaka Division,,,
Bangladesh,Khulna Division,,,
Bangladesh,Rajshahi Division,,,
Bangladesh,Rangpur Division,,,
Bangladesh,Sylhet Division,,,
Bangladesh,Mymensingh Division,,,
Belgium,,191866,10327,
Belgium,Brussels,30956,,
Belgium,Antwerp,29323,,
Belgium,Flemish Brabant,16167,,
Belgium,Limburg,11088,,
Belgium,East Flanders,16428,,
Belgium,West Flanders,13944,,
Belgium,Walloon Brabant,7650,,
Belgium,Hainaut,22833,,
Belgium,Liège,25986,,
Belgium,Luxembourg,4505,,
Belgium,Namur,8766,,
Burkina Faso,,2335,65,
Bulgaria,,27507,944,
Bahrain,,76954,289,
Burundi,,531,1,
Benin,,2496,41,
Bermuda,,185,9,
Brunei,,147,3,
Bolivia,,139141,8377,
Bolivia,Beni,,,
Bolivia,Cochabamba,,,
Bolivia,Chuquisaca,,,
Bolivia,La Paz,,,
Bolivia,Pando,,,
Bolivia,Oruro,,,
Bolivia,Potosí,,,
Bolivia,Santa Cruz,,,
Bolivia,Tarija,,,
Caribbean Netherlands,,150,3,
Brazil,,5140863,151747,4084182
Brazil,Acre,27885,657,
Guinea,,11255,70,
Equatorial Guinea,,5068,83,
Greece,,23947,482,
South Georgia and the South Sandwich Islands,,,,
Guatemala,,99765,3453,
Guatemala,Alta Verapaz Department,,,
Guatemala,Baja Verapaz Department,,,
Guatemala,Chimaltenango Department,,,
Guatemala,Chiquimula Department,,,
Guatemala,Escuintla Department,,,
Guatemala,Guatemala Department,,,
Guatemala,Huehuetenango Department,,,
Guatemala,Izabal Department,,,
Guatemala,Jalapa Department,,,
Guatemala,Jutiapa Department,,,
Guatemala,Petén Department,,,
Guatemala,El Progreso Department,,,
Guatemala,Quiché Department,,,
Guatemala,Quetzaltenango Department,,,
Guatemala,Retalhuleu Department,,,
Guatemala,Sacatepéquez Department,,,
Guatemala,San Marcos Department,,,
Guatemala,Sololá Department,,,
Guatemala,Santa Rosa Department,,,
Guatemala,Suchitepéquez Department,,,
Guatemala,Totonicapán Department,,,
Guatemala,Zacapa Department,,,
Guam,,3427,63,
Guinea-Bissau,,2389,41,
Guyana,,3589,106,
Gaza Strip,,,,
Hong Kong,,,,
Heard Island and McDonald Islands,,,,
Honduras,,85458,2533,
Honduras,Atlántida Department,,,
Honduras,Choluteca Department,,,
Honduras,Colón Department,,,
Honduras,Comayagua Department,,,
Honduras,Copán Department,,,
Honduras,Cortés Department,,,
Honduras,El Paraíso Department,,,
Honduras,Francisco Morazán Department,,,
Honduras,Gracias a Dios Department,,,
Honduras,Bay Islands Department,,,
Honduras,Intibucá Department,,,
Honduras,Lempira Department,,,
Honduras,La Paz Department,,,
Honduras,Ocotepeque Department,,,
Honduras,Olancho Department,,,
Honduras,Santa Bárbara Department,,,
Honduras,Valle Department,,,
Honduras,Yoro Department,,,
Croatia,,22534,344,
Haiti,,8908,231,
Haiti,Artibonite,550,38,
Haiti,Centre,464,12,
Haiti,Grand'Anse,167,13,
Haiti,Nord,614,38,
Haiti,Nord-Est,288,12,
Haiti,Nippes,141,5,
Haiti,Nord-Ouest,207,11,
Haiti,Ouest,5974,98,
Haiti,Sud,263,6,
Haiti,Sud-Est,265,9,
Hungary,,43025,1085,
Indonesia,,349160,12268,
Indonesia,Aceh,,,
Indonesia,Bali,,,
Indonesia,Bangka Belitung Islands,,,
Indonesia,Bengkulu,,,
Indonesia,Banten,,,
Indonesia,Gorontalo,,,
Indonesia,Jambi,,,
Indonesia,West Java,,,
Indonesia,East Java,,,
Indonesia,Jakarta,,,
Indonesia,Central Java,,,
Indonesia,West Kalimantan,,,
Indonesia,East Kalimantan,,,
Indonesia,Riau Islands,,,
Indonesia,South Kalimantan,,,
Indonesia,Central Kalimantan,,,
Indonesia,North Kalimantan,,,
Indonesia,Lampung,,,
Indonesia,Maluku,,,
Indonesia,North Maluku,,,
Indonesia,West Nusa Tenggara,,,
Indonesia,East Nusa Tenggara,,,
Indonesia,Papua,,,
Indonesia,West Papua,,,
Indonesia,Riau,,,
Indonesia,North Sulawesi,,,
Indonesia,West Sumatra,,,
Indonesia,Southeast Sulawesi,,,
Indonesia,South Sulawesi,,,
Indonesia,West Sulawesi,,,
Indonesia,South Sumatra,,,
Indonesia,Central Sulawesi,,,
Indonesia,North Sumatra,,,
Indonesia,Yogyakarta,,,
Ireland,,46429,1838,
Israel,,297130,2084,
Spain,Cataluña,155405,5905,
Spain,Extremadura,13602,639,
Spain,Galicia,25300,810,
Spain,Islas Baleares,15670,327,
Spain,Region de Murcia,25282,164,
Spain,Comunidad de Madrid,259701,9903,
Spain,Melilla,1428,10,
Spain,Navarra,23707,639,
Spain,País Vasco,51095,1979,
Spain,La Rioja,3851,435,
Spain,Comunidad Valenciana,47440,1677,
Ethiopia,,87169,1325,
Finland,,13133,350,
Fiji,,32,2,
Falkland Islands,,13,0,
Micronesia,,0,0,
Faroe Islands,,480,0,
France,,780994,32868,
France,Auvergne-Rhône-Alpes,89526,2108,1412031
France,Bourgogne-Franche-Comté,17362,1114,696256
France,Saint Barthélemy,67,0,
France,Brittany,16504,303,235256
France,Corsica,2102,68,47021
France,Centre-Val de Loire,16719,623,373712
France,Grand Est,31191,3772,2179278
France,French Guiana,,,
France,Guadeloupe,6908,96,
France,Hauts-de-France,70917,2140,1176636
France,Île-de-France,214162,8392,5137189
France,La Réunion,,,
France,Mayotte,,,
France,Saint Martin,501,8,
France,Martinique,,,
France,Nouvelle-Aquitaine,38081,575,404971
France,Normandy,23582,520,311354
France,Occitanie,61265,686,542989
France,Provence-Alpes-Côte d'Azur,71661,1263,1063677
France,Pays de la Loire,23327,546,386775
France,Saint Pierre and Miquelon,16,0,
Gabon,,8869,54,
United Kingdom,,689257,43429,
Mexico,San Luis Potosí,23850,1751,
Mexico,Sonora,25122,2920,
Mexico,Tabasco,32360,2794,
Mexico,Tamaulipas,29486,2338,
